Date,Tweet Full Text,Topic,Action,user id,follower count,place
2/27/19 6:48,b'@HYDTP @hydcitypolice @RachakondaCop @Rachakonda_tfc Dear Sir pls take action on this number plate tampering n no helmet',Traffic,S,1.07E+18,1,
2/27/19 6:28,b'@HYDTP @hydcitypolice @RachakondaCop @Rachakonda_tfc Dear Sir still no action take for cellphone driving n without helmet pls take action',Traffic,S,1.07E+18,1,
26-02-2019 09:51,b'@hydcitypolice @DeepRK94 Mobile phone driving is too dangerous',Suggestion,NS,2546811832,1,
26-02-2019 08:47,b'@hydcitypolice Congratulations Hyderbad City Police',Appreciation,NS,1.02E+18,1,
26-02-2019 07:43,b'@HYDTP @hydcitypolice @RachakondaCop @SoumyodipMitra @CommissionrGHMC @GHMCOnline @bonthurammohan Can you share details of Challan imposed and is action being taken again SI and constable?',Follow up,S,1.06E+18,1,
26-02-2019 06:00,"b'@HYDTP @hydcitypolice @RachakondaCop @Rachakonda_tfc Black/Tainted glass found at Uppal road on 24th,Feb,2019,6:14PM Vechile No. TS 13EH 0277 pls take actn https://t.co/5o4TyColyT'",Traffic,S,1.07E+18,1,
26-02-2019 05:42,"b'@HYDTP @hydcitypolice @RachakondaCop @Rachakonda_tfc Cellphone driving n No helmet at Shivam road, Nallakunta on 24th,Feb,2019,8:05AM vehicle no. TS 08EG 2738  pls take severe action immediately on this kind of careless n unsafe driving https://t.co/GMd0rFp28U'",Traffic,S,1.07E+18,1,
26-02-2019 05:36,"b'@HYDTP @hydcitypolice @RachakondaCop @Rachakonda_tfc No helmet driving at Shankermutt road, Nallakunta on 25th,Feb,2019,9: 23AM vehicle no. TS 08FL 7766  pls take actn.... https://t.co/2VqZZiYkWQ'",Traffic,S,1.07E+18,1,
25-02-2019 14:01,"b'@LENINK @Im_ShakeelAhmed @HYDTP @hydcitypolice Sorry to say it was not towing any vehicle, needlessly it need to follow traffic rules and sense.\n#NoOneAboveTheLaw'",Traffic,S,1.06E+18,1,
25-02-2019 13:41,"b'@hydcitypolice ... @HYDTraffic ..\nSir, Today Feb 25 around 9:30 AM at TechMahendra circle towards Kondapur from Cyber towers, the free left is blocked. This is happening everyday. Request you to please take action. Appreciate your efforts Sir. Thank you. \xf0\x9f\x99\x82 https://t.co/NghEJISbx7'",Traffic,S,1.03E+18,1,
2/25/19 9:13,b'@RameshVaitla @HiHyderabad @hydcitypolice @TelanganaDGP @shobanjarahills @HYDTP @WeHyderabad @RachakondaCop @cyberabadpolice @CPHydCity Very rude behaviour of girls should some sence of while talking to others',Suggestion,NS,1.03E+18,2,
2/25/19 5:01,b'@HYDTP @KTRTRS @KTRoffice @cpcybd @hydcitypolice @cyberabadpolice Usually how many days to remove challan after  reporting ...',Query,S,1.06E+18,2,
2/24/19 21:51,"b""@MonicaReddy_ @cjwerleman @hydcitypolice @hydcitypolice She's Laughing At Hyderabad Police\nUnko Ab Police Se Bh Dar Nahin Lagta \nShe's Openly Justifying Killing Of Indian Muslims""",Suggestion,NS,4088365815,2,
2/24/19 17:42,b'@hydcitypolice Super',Appreciation,S,1.02E+18,2,
03-01-2019 02:35,b'@hydcitypolice What time on Friday? Timings?',Query,S,9.85E+17,2,
2/27/19 6:42,b'@cyberabadpolice @hydcitypolice @HYDTP @cpsiddipet Can I have update on this please. @TelanganaDGP',Follow up,S,9.40E+17,2,
2/27/19 4:17,"b'@hydcitypolice Currently I am In Hyderabad I am working in a Pharmaceuticals company ,I belong from Uttar Pradesh, But in Hyderabad I feel like I am in Pakistan. Because of Police behavior.'",Dissatisfaction,NS,1.07E+18,2,
26-02-2019 04:14,b'@hydcitypolice Wear helmet or meet hell',General Info,NS,1.04E+18,2,
26-02-2019 02:11,b'@IGWomenSafety @hydsheteam @bharosahyd @shesafe_ts @hydcitypolice @TelanganaDGP Congratulations Madem',Appreciation,NS,1.06E+18,2,
26-02-2019 02:11,b'@hydcitypolice Congratulations Sir',Appreciation,NS,1.06E+18,2,
2/24/19 23:02,b'So many complaints but no action taken by ghmc! Sleep less nights due to these dogs! @GHMCOnline @hydcitypolice @HYDTP at 430 am i had to do this than sleep peacefully! https://t.co/9Duni9XwdX',Community Action,S,1.05E+18,3,
03-01-2019 06:47,b'@hydcitypolice \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb@hydcitypolice \n media channels need to stop telecasting confidential matters and it\xe2\x80\x99s our responsibility to stop sharing them on social media platform',Community Action,S,1.10E+18,3,
2/28/19 3:19,"b'@hydcitypolice Good information for proper planning, when will it resume Sir'",Appreciation,NS,3821748084,3,
26-02-2019 07:07,b'@HYDTP @AddlCPTrHyd You Deserved it Dear @cyberabadpolice @hydcitypolice @CYBTRAFFIC @CPHydCity anyway congratulations  \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',Appreciation,NS,1.05E+18,3,
25-02-2019 17:12,b'@hydcitypolice @snarifnusrati Congrats',Appreciation,NS,8.47E+17,3,
2/24/19 19:10,"b'@ImVikas237 @cyberabadpolice @ACIT_GHMC @GHMCOnline @hydcitypolice @HYDTP @CYBTRAFFIC Perfect, just crossed the road where it got damaged for which I complained, saw that work is going on and this time they are applying black THAR, thanks to CP...\xf0\x9f\x99\x8f \xf0\x9f\x99\x8f \xf0\x9f\x99\x8f but pls consider the U turn over there, bikers removing barricades time to time,close r open them permanently.'",Appreciation,S,1.06E+18,4,
2/27/19 17:45,"b""Dear @cyberabadpolice @hydcitypolice @TelanganaDGP Can you take some action against this TV channel for misguiding the civilians with this news. They can't even differenciate @narendramodi official twitter account and spreading fake news. https://t.co/mJn6agxj3l https://t.co/8mr9oFbZyf""",Fake News,S,1256487271,4,
2/27/19 4:46,"b'Huge traffic at Wipro circle, financial district. No proper plan of action. Please help @KTRTRS @hydcitypolice @cyberabadpolice @CPHydCity'",Traffic,NS,83797956,4,
2/26/19 12:05,b'@hydcitypolice @hydcitypolice This auto with over loaded  SCHOOL KIDS was going in wrong direction from kavuri hills to road no 45. When I questioned the driver he said what should I do the route from Rd 44 to RD no 45 is closed and I have to go extra 2 kms. Kindly look into this https://t.co/8WVtJjzDIm',Community Action,NS,9.61E+17,4,
03-01-2019 05:01,b'@hydcitypolice Congratulations... Hyderabad police team',Appreciation,NS,8.75E+17,5,
03-01-2019 04:55,b'@hydcitypolice Great thinking',Appreciation,NS,8.75E+17,5,
2/27/19 7:10,"b'@hydcitypolice The worst, most inefficient and corrupt police in the country.'",Dissatisfaction,S,176059047,5,
2/24/19 9:06,"b'@hydcitypolice sir - sagar ring road , traffic not moving a inch. Ple help'",Traffic,S,9.10E+17,6,
03-01-2019 13:19,b'@PMOIndia @hydcitypolice @narendramodi @BJP_RSS https://t.co/yhbExfUCqV sir arrest  this bustard... https://t.co/9B0AuG1xoD',Community Action,S,1.10E+18,6,
2/28/19 20:08,b'@hydcitypolice Sir nothing will happen in our city all youth r supporting you\xf0\x9f\x91\xac\xf0\x9f\x91\xac\xf0\x9f\x91\xac\xf0\x9f\x91\xac\xf0\x9f\x91\xac\xf0\x9f\x91\xac',Appreciation,NS,7.52E+17,6,
26-02-2019 03:16,b'@IGWomenSafety @hydsheteam @bharosahyd @shesafe_ts @hydcitypolice @TelanganaDGP Congratulations madam for this great achievement award',Appreciation,NS,1.08E+18,6,
25-02-2019 19:08,b'@hydcitypolice \nProgram going on with high pitch voice in Barksthpura Colony at 12 30 AM even after Police Vehicle came and stopped by ... no sleep for colony people... no concern from City Police https://t.co/jMK9L14XIq',Community Action,S,2509879651,6,
2/24/19 18:45,"b""A new kind of begging/robbery is started in hyd city. Few people are standing near software companies and saying they lost the route/bus and require money for travel/food. I told them to approach near by police station but they were rude. Pls don't encourage them @hydcitypolice""",Theft,S,7.90E+17,7,
2/28/19 16:15,b'Who are these people? \xf0\x9f\xa4\x94 Where do they come from\xf0\x9f\x99\x84? Saw this car parked at KPHB addagutta High tension road with this number plate.  @hydcitypolice @KTRTRS @HYDTP #Hyderabad https://t.co/ZTtTVTYCxy',Traffic,S,2958199664,7,
2/25/19 8:25,"b'@RameshVaitla @HiHyderabad @hydcitypolice @TelanganaDGP @shobanjarahills @HYDTP @WeHyderabad @RachakondaCop @cyberabadpolice @CPHydCity Ashamed on the way these girls talking without manners and respect. \n\nAnd they saying "" We are law student "" for what, to behave like this.'",Suggestion,NS,1.08E+18,8,
03-01-2019 14:33,"b'No Helmet driving \nDATE: 1 March, 2019\nTIME: 6:05pm\nLOCATION: HCU central University road Hyderabad\nBIKE NUMBER: AP09BV 6135\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/l8ig7YrctA'",Traffic,S,9.33E+17,8,
03-01-2019 14:29,"b'No Helmet driving \nDATE: 1 March, 2019\nTIME: 6:07pm\nLOCATION: Doyens colony central University road Hyderabad\nBIKE NUMBER: TS35 A9596\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/QrrhzSyP8s'",Traffic,S,9.33E+17,8,
2/27/19 21:25,b'And cleaning the vehicles shirtless at the traffic signals. We see @hydcitypolice and traffic department is watching on signal cameras evey second for the people violating the rules. Also they can see kids who are begging being at their own risk in the tradfic.',Community Action,S,1.09E+18,8,
2/27/19 17:18,"b'No Helmet driving \nDATE: 27 FEB, 2019\nTIME: 6:15pm\nLOCATION: BHEL signals, Lingampally\nBIKE NUMBER: AP23F 5827\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/HMrYNmUOO6'",Traffic,S,9.33E+17,8,
2/27/19 17:16,"b'No Helmet driving \nDATE: 27 FEB, 2019\nTIME: 5:47pm\nLOCATION: Biodiversity signals, Gachibowli\nBIKE NUMBER: TS12EA 7379\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/MTIBZtcJ4V'",Traffic,S,9.33E+17,8,
2/27/19 17:13,"b'No Helmet driving &amp; triple driving \nDATE: 27 FEB, 2019\nTIME:  5:51pm\nLOCATION: Biodiversity signals, Gachibowli\nBIKE NUMBER: TS15EL 7048\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/CWc1bAxGk4'",Traffic,S,9.33E+17,8,
2/26/19 12:32,"b'No Helmet driving &amp; Triple riding\nDATE:  26 FEB, 2019\nTIME: 5:46pm\nLOCATION: biodiversity circle, Gachibowli\nBIKE NUMBER: TS07GC 4928\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/wgcqabU1OH'",Traffic,S,9.33E+17,8,
2/26/19 12:27,"b'No Helmet driving &amp; Triple riding\nDATE: 26 FEB, 2019\nTIME: 5:46pm\nLOCATION: Biodiversity signals , Gachibowli\nBIKE NUMBER: TS07GC 4928\n@hydcitypolice @HYDTP @CYBTRAFFIC \nPeople have no fear about traffic police or rules. Such a big signal they are driving without any fear. https://t.co/jRgRmTMUX6'",Traffic,S,9.33E+17,8,
26-02-2019 07:15,"b'No Helmet driving \nDATE: 26 FEB, 2019\nTIME: 8:44am\nLOCATION: Lingampally BHEL X roads \nBIKE NUMBERS: AP28DM 6977  &amp;\nTS15EC 5547\n@hydcitypolice @HYDTP @CYBTRAFFIC https://t.co/DMUEFxTedL'",Traffic,S,9.33E+17,8,
26-02-2019 05:23,"b""@HYDTP @hydcitypolice look into the stupid way of going, no one caring about traffic rules. And even traffic police isn't here to monitor. \n\nPlease take good initiative https://t.co/lrNR21PPRV""",Suggestion,NS,1.08E+18,8,
26-02-2019 04:18,"b""@RameshVaitla @KTRTRS @hydcitypolice I don't think so women will get justice because TRS party candidate and there will be pressure from the concerned leader and the policemen could not do their duty because of the pressure and this is quite common in Hyderabad.""",Others,NS,3102683016,9,
2/25/19 9:38,b'@hydcitypolice Sir I just received a fraud call from this number +919874543573 stating that my credit card is blocked and asking Aadhar num. Wanted to alert your team.',Fraud,S,237844693,10,
2/24/19 10:55,"b""@AmazonHelp @AmazonHelp u r worst support is taking worst how can u say it's not received by you @TelanganaDGP @hydcitypolice please help me""",Others,NS,814770979,10,
2/24/19 6:10,b'@hydcitypolice Charge MCH for not installing pole properly.',Community Action,S,4479436274,10,
2/28/19 18:40,b'AP29TA3378 heavy tipper with overload \xe2\x81\xa6@HYDTP\xe2\x81\xa9 \xe2\x81\xa6@hydcitypolice\xe2\x81\xa9 https://t.co/Qu4bfLqPPn',Traffic,S,1636206974,10,
2/27/19 6:43,b'@hydcitypolice no police person available for security checking at nampally station?? https://t.co/abGY4YlmU7',Dissatisfaction,S,1277663958,10,
2/28/19 3:20,b'@hydcitypolice Why common man is made to suffer &amp; wait for these royal highness in scorching summer heat.',Community Action,NS,9.69E+17,11,
26-02-2019 02:16,b'Is this  the way how to stop on red signal\n#justasking\n\n@HYDTP @hydcitypolice @cyberabadpolice https://t.co/gVakWbksky',Traffic,S,1.05E+18,11,
2/25/19 7:53,"b'@HYDTP @hydcitypolice  Sir, what is The reason behind NOT conducting drink n drive immediately  after ""bars,pubs"";  every day one random location.. any person with parked vehicle at such location is mostly  drunk  ..'",Community Action,S,97398495,12,
2/25/19 0:58,b'@hydcitypolice Good Job \xf0\x9f\x91\x8d',Appreciation,NS,1.06E+18,12,
03-01-2019 12:12,b'@HydWatch @CPHydCity @hydcitypolice @rajakesarimdk @AddlCPTrHyd @HMWSSBOnline @MORTHRoadSafety Or atleast blur the image.',Follow up,S,8.30E+17,12,
03-01-2019 12:11,b'@HydWatch @CPHydCity @hydcitypolice @rajakesarimdk @AddlCPTrHyd @HMWSSBOnline @MORTHRoadSafety Please cover her up.',Follow up,S,8.30E+17,12,
03-01-2019 04:01,b'@hydcitypolice Congratulations Sir',Appreciation,NS,1.08E+18,12,
2/28/19 21:12,"b""@CYBTRAFFIC Tried 10s of times only 2b askd Ques. Heading which way or Report to area station Sir! Wen it's happening everyday Y post askin2report wen reporting sys is difficult @HYDTP  @KTRTRS @TelanganaCMO @TelanganaDGP @hydcitypolice same wit 3 riding , wrngway n underage RASH DRIVERS""",Traffic,S,4856513598,12,
2/28/19 18:43,b'@hydcitypolice thanks for the response...thank you so much',Appreciation,NS,3101148679,12,
2/28/19 18:21,b'@hydcitypolice there is patient at my home but how these people making us in trouble at midnight...can i expect action https://t.co/kYxxFKG39d',Community Action,S,3101148679,12,
03-01-2019 11:57,b'@HydWatch @CPHydCity @hydcitypolice @rajakesarimdk @AddlCPTrHyd @HMWSSBOnline @MORTHRoadSafety Very big tragedy for their parents strict action should be taken against offender.',Traffic,S,7.13E+17,13,
2/28/19 16:44,b'@RachakondaCop @TelanganaDGP @TelanganaPolice @hydcitypolice @cyberabadpolice Big day for cricket lovers in Hyderabad and big day for police department to manage such a huge crowds!! Jai Hind',General Info,NS,1.10E+18,13,
26-02-2019 04:54,b'@hydcitypolice @HYDTP @narendramodi please put digital timer on traffic lights so that people get to know how much time they have to wait n they will switch off their car engines.',Traffic,S,8.17E+17,13,
26-02-2019 03:08,b'@RachakondaCop @TelanganaPolice @TelanganaDGP @hydcitypolice @cyberabadpolice @IGWomenSafety @She_TeamRCK1 @shesafe_ts Kudos!! There is a marked change. People find Police more approachable than before. Crime detection is praise worthy. Installation of CCTV cameras needs to be a high priority. Traffic management is still a challenge. But on the whole people feel safer than before.',Traffic,S,1.10E+18,13,
26-02-2019 02:39,b'@talariKrishnasr @CYBTRAFFIC @cyberabadpolice @cpcybd @cyberabadpolice @hydcitypolice @CPHydCity @TelanganaDGP if the department is unable to control their own people how can they control the public #Lawbreakers https://t.co/bOxt5SDLiY',Community Action,S,1.09E+18,13,
25-02-2019 15:47,b'@hydcitypolice @TelanganaDGP like uniform service delivery thus uniform work progress @shofalaknuma regardlessly working with staff of all grades to maintain 5s program in police station..Sho falaknuma sitting on floor and doing his duties ..Down to earth sir.. https://t.co/n6r5nS08LM',Appreciation,NS,1.01E+18,13,
03-01-2019 07:16,"b'@hydcitypolice sir my name teja mallareddy  my phone was theft by 14.02.2019, 10:45 Am on  RTC bus  i am giving complaint  to madhapur police station ,cyberabad . Asus mobile IMEI number 369849093277280,369849093277298  i am requesting you please recovery my phone Thanking u sir'",Theft,S,9.04E+17,14,
03-01-2019 06:10,b'@HYDTP @hydcitypolice Thanks leave it...I understand you wanted citizens to become skapegoats...',Appreciation,NS,1.00E+18,14,
03-01-2019 04:00,b'@hydcitypolice @HYDTP 9.24am at Sangeet Circle',Others,NS,1.00E+18,14,
03-01-2019 03:58,"b'@hydcitypolice @HYDTP  triple riding, signal jump and no helmet https://t.co/rmkQW9bUxv'",Traffic,S,1.00E+18,14,
2/27/19 18:24,"b""@TV9Telugu you sick channel, #Abhinandan denied to share his details at hostage, But TV9 broadcasting confidential details of family,location. @hydcitypolice sir could you pls check whether this fall under national threat?How media share the pilot's info without Army permission?""",Community Action,S,350112010,14,
2/27/19 13:11,"b""@hydcitypolice @MumbaiPolice @SueBites She is a surgeon with serious hatred for Hindus. I'm worried for her Hindu patients. Should doctors with such radical thoughts and hatred for a certain community be trusted? I hope you'll investigate and take necessary action. Really counting on you, @hydcitypolice .""",Community Action,S,1.09E+18,14,
2/27/19 13:08,b'@hydcitypolice @MumbaiPolice @SueBites Thanks a lot! Really appreciate your gesture! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd',Appreciation,NS,1.09E+18,14,
2/27/19 13:06,"b""It appears, she's from Hyderabad so tagging you, @hydcitypolice . Please take action against this hatemonger, bigoted @SueBites for hurting sentiments of Hindus. Please! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd""",Community Action,S,1.09E+18,14,
2/27/19 13:03,"b'Hello, @hydcitypolice , please take cognizance of this. This account @SueBites is spreading hatred against the majority Hindu community. She has deleted the tweets but the screenshots are legitimate. Please take some action as you would for crimes against minorities. Thanks!'",Community Action,S,1.09E+18,14,
2/27/19 8:49,b'Hi @HYDTP  @hydcitypolice wrong route in Kondapur...please look into this. https://t.co/TSwiWwa2zi',Traffic,S,1.05E+18,14,
26-02-2019 05:08,b'@hydcitypolice \nFIR NO 2/2019 \nsir i have registerd a complaint of my bike Theft on on 03/1/2019 and when i approched the malakpet police station they are not responding i request u to update the status',Theft,S,3244380655,14,
26-02-2019 04:20,"b'@RachakondaCop @hydcitypolice @cyberabadpolice @TelanganaDGP It is good that Police and Judiciary are giving justice for women. How about Mens, if they are victims of Domestic Violence. How should a men file a case against their wife,is there any such Law? men has to face the Problems and Pains.\xf0\x9f\x98\xa9\xf0\x9f\x98\xab\xf0\x9f\x98\x96'",Query,S,3317443369,15,
25-02-2019 13:13,"b'Sir, \nA case was booked by @shomalakpet against family members of a 1 1/2 year old child when the manhandled doctor. What about the negligence of the hospital authorities. Is any case registered or not. @hydcitypolice @amjedmbt @TheSiasatDaily'",Community Action,S,1.06E+18,15,
03-01-2019 03:28,b'@RachakondaCop @TelanganaDGP @TelanganaPolice @cyberabadpolice @hydcitypolice @BCCI How sir buses will not come at right time.... If we continues ley going late to office they will consider as a late login half day salary cut',Community Action,S,401440947,16,
2/24/19 9:42,b'@KamalKu31915725 @hydcitypolice \xf0\x9f\x98\xb2 If it turns upside down and any casualties reported then who is responsible Driver? Police? or the Victims? Follow Traffic rules no matter what happens. Be a responsible citizen.',Suggestion,S,1.08E+18,17,
03-01-2019 07:26,"b'@SocialsPanda @ravichowdaryy @CyberCrimeshyd @hydcitypolice Police will track him down. It is a racket and being a responsible citizen complaint against him, Cops will bring him down and all fake opportunities of getting job by paying money.\nCompany needs your talent so need to pay to anyone for jobs. #BeaVigilantCitizen'",Community Action,S,1.08E+18,17,
2/28/19 20:46,"b'@ravichowdaryy @CyberCrimeshyd @hydcitypolice Approach cyber crimes police station, Opp: Telangana Tourism Office, Central Crime Station (CCS), Hyderabad, for necessary action. \nOffice Number: 040-27852412. File a, written petition #OurHyderabad #OurResponsibility if you need any help leave a, message. Jai Hind!'",Fraud,S,1.08E+18,17,
2/27/19 6:55,"b'@hydcitypolice @HYDTP @shocharminar L&amp;O officials located but failed to control. Permanent Solution-Remove illegal parking and illegal encroachments. 2 Lane turned into 1, Location - NB SCIENCE COLLEGE and Agarwal girls school. https://t.co/UlQcJZkEhu'",Community Action,S,1.08E+18,17,
2/27/19 6:45,b'@HYDTP @hydcitypolice @shocharminar Illegal parking on the road creating jams and havoc among the citizens. https://t.co/2BKNcPIWEt',Traffic,NS,1.08E+18,17,
25-02-2019 19:30,b'@hydcitypolice Thanks to all the voters who made it possible \xf0\x9f\x91\x8f. Congratulations @hydcitypolice',Appreciation,NS,1.08E+18,17,
2/24/19 16:48,b'I dont think @BalapurPS responds to twitter complaints. @hydcitypolice will you take action?I have seen 2 culprits were handed over to police personel by local people. Let us know what action was taken against them.@hydsheteam @shosaidabad https://t.co/ieDVZZJxcV',Follow up,S,1041920106,18,
2/24/19 9:57,b'@RachakondaCop @cyberabadpolice @hydcitypolice @TelanganaDGP Great job - Congratulations - Please continue to save people',Appreciation,S,873099204,18,
2/24/19 8:09,b'@santosh4bharat @hydcitypolice Yes sir please implement Pollution mask...',Suggestion,S,384678824,18,
03-01-2019 01:58,"b'@DCPEASTZONE @hydcitypolice @CPHydCity @AddlCPCrimesHyd @IGWomenSafety @TelanganaDGP @TelanganaCMO @IPS_Association @Nainajaiswal14 @DCPWZHyd @DCPNZHyd @DCPSZHyd @DCPCZHyd Beautifully Said Sir!\nMy day started with a smile,Off course that beautiful one only \xf0\x9f\x98\x8a \xe2\x98\xba'",Appreciation,NS,9.46E+17,18,
2/28/19 18:36,b'Dear @CyberCrimeshyd @hydcitypolice \nThe person is asking me to deposit amount as a processing fee to get a job.\nI request you to please take action so that other people may also be duped by this guys.\nI can provide more details if you contact me directly. https://t.co/K5liHcHtX5',Fraud,S,3231824538,18,
26-02-2019 10:27,"b""@hydcitypolice @Insptrfalaknuma Thank you sir. It's not just today, everyday its the same. One side of the road is occupied by these tempos and the otherside by autos..they are leaving very less space for the commuters to use. Hope you take action.""",Traffic,S,1041920106,18,
26-02-2019 10:12,b'@hydcitypolice Half of the road under chandrayangutta flyover is left for vehicles parking ? Or was the road laid with private funds and not public funds? https://t.co/mSwTzRSBOU',Query,S,1041920106,18,
2/27/19 8:29,b'Respected @hydcitypolice @CYBTRAFFIC @cyberabadpolice @HYDTP officers.. \nPls have a look. No helmet. Triple riding and unwanted honking.. \nLocation: Gachibowli signal \nTime : 10:13AM\n#DriveSafe https://t.co/29mM98mi6S',Traffic,S,540684539,19,
2/25/19 9:31,b'@RameshVaitla @HiHyderabad @hydcitypolice @TelanganaDGP @shobanjarahills @HYDTP @WeHyderabad @RachakondaCop @cyberabadpolice @CPHydCity What kind of law students they are ? No law student behave like this irrespective of gender !',Suggestion,NS,1843402788,20,
2/24/19 16:23,b'@TheAngryLord @TataCompanies @CleanTheNation1 @squintneon @hydcitypolice  request you to please take action sir....',Follow up,S,1.06E+18,20,
2/24/19 8:43,"b'@KTRTRS @trspartyonline @HYDTP @hydcitypolice  Sir,welcome this kind of good initiatives in Telangana too https://t.co/wEL9FjlJPj'",Suggestion,S,378046548,20,
26-02-2019 06:04,b'@shodabeerpura @hydcitypolice Great job sir',Appreciation,NS,3004585999,20,
2/25/19 4:20,"b'No street lights at Srisailam highway, pahadi Shareef road!!!\n@KTRTRS @PahadishareefPS @GHMCOnline @hydcitypolice @swachhhyd https://t.co/ygYDZ0v0Ij'",Community Action,S,7.24E+17,21,
26-02-2019 00:21,b'@hydcitypolice Some education happens by awareness and others by forced discipline. Please enforce echallan for violations and beyond 10 violations the licence should be cancelled.  Hyd roads have turned into hell with frustrated and impatient drivers who can waste hours over chai but driving',Suggestion,S,482323188,21,
2/27/19 6:31,b'@hydcitypolice @cyberabadpolice Till now no action taken. Some people are openly drinking in Kaithlapur ground &amp; throwing bottles. Drinkers are creating chaos in night. Atleast issue warning to Balaji wines https://t.co/P5xVBu4uTf',Community Action,S,497660523,22,
